Id,SalePrice
1461,158938.66605938185
1462,168589.86308127048
1463,192258.85177772518
1464,197553.79171161636
1465,190244.62029182582
1466,193347.87776751793
1467,191907.48262276908
1468,191044.92856994766
1469,180058.37820465525
1470,169046.76936268955
1471,199418.02744501032
1472,153501.18001910453
1473,154616.07213420313
1474,167289.44401782134
1475,164395.83547329999
1476,259836.97250038577
1477,205559.75879949832
1478,234269.53923988735
1479,229664.3273931705
1480,271492.07987174514
1481,218510.0635386121
1482,198625.18911833549
1483,199921.50624263755
1484,194347.30541128735
1485,204103.00636045341
1486,204371.44388749488
1487,227244.07232682611
1488,199056.78908024798
1489,194798.91696937929
1490,212656.51890082122
1491,202590.36834837077
1492,136544.19813351211
1493,197772.06320906139
1494,207698.81306495611
1495,199942.6778714589
1496,223031.95830613468
1497,187483.07991556864
1498,188500.02713861666
1499,183536.20915104562
1500,184908.69290750861
1501,181443.24711434415
1502,193383.79173011074
1503,218565.55886541645
1504,207034.12135778487
1505,196545.50930026421
1506,177636.88208084716
1507,191542.59708552281
1508,182420.6701383247
1509,170538.24481749735
1510,166703.59372605069
1511,171350.86411752875
1512,176243.52865899063
1513,166104.2933902884
1514,167220.97322335746
1515,170557.77316446276
1516,159641.06492594819
1517,177386.90267230643
1518,160146.68706286751
1519,194171.1581625636
1520,166222.35474908183
1521,169523.91204083996
1522,171332.26589943233
1523,149721.48732745892
1524,155017.92530522958
1525,155974.13210999448
1526,155171.78790627359
1527,154888.00282793134
1528,159681.2034482967
1529,171050.4262613671
1530,174791.92947736493
1531,156809.80237674835
1532,155016.77383042284
1533,160802.79363129189
1534,157703.16476018511
1535,166648.21485626226
1536,150702.85247559845
1537,133920.57764821735
1538,155262.6386361678
1539,179161.76922456329
1540,143547.43632508634
1541,171281.55079763845
1542,163122.9055669267
1543,163387.89857349766
1544,135380.69817193865
1545,149441.55499662095
1546,157313.47538218304
1547,150371.22795881052
1548,151962.8151283222
1549,164606.78857853296
1550,150807.24890985689
1551,154759.57994270677
1552,160192.26184210408
1553,168268.78856506784
1554,160341.33322989501
1555,171222.51982835337
1556,141479.60199439642
1557,139982.94351021358
1558,157354.36358812908
1559,148061.41994648793
1560,154974.56184143323
1561,157130.53059024218
1562,168225.88681423338
1563,160486.00291505002
1564,186150.78244306857
1565,172953.79376773236
1566,194456.42583399976
1567,140241.58840189484
1568,211246.98886787635
1569,167156.11648004717
1570,171996.79785233471
1571,161855.71228550933
1572,174424.0044664942
1573,202711.97620259877
1574,161924.54610279211
1575,196067.89429371347
1576,210295.21597548242
1577,191232.79860061849
1578,161696.76141174301
1579,174921.03250783758
1580,193011.01821130319
1581,178512.44692197352
1582,161063.19753409902
